Module Code,Module Title,Credits,Term,ELE Link,prerequisites,Prerequisites,Coerequisites
BEA1003,Business Law for Accountants,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA1003&ay=2023/4&sys=0,,This module is for Accounting students only,BEA1008
BEA1008,Introduction to Financial Accounting,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA1008&ay=2023/4&sys=0,,None,Cannot be taken concurrently with BEA1013 Introduction to Accounting
BEA1009,Introduction to Management Accounting,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA1009&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,BEA1008 Introduction to Financial AccountingCannot be taken with BEA1013 Introduction to Accounting
BEA1010,Business Finance for Accountants,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA1010&ay=2023/4&sys=0,,This module is for Accounting students only,BEA1008 Introduction to Financial AccountingNon-requisites: Cannot be taken with BEE1024 Mathematics for Economists.
BEA1012,Introduction to Statistics for Accountants,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA1012&ay=2023/4&sys=0,,This module is for Accounting students only,"Non-requisites: Cannot be taken with BEE1022, BEE1025 or BEM1024."
BEA1013,Introduction to Accounting,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA1013&ay=2023/4&sys=0,,None,Not to be taken with BEA1008 or BEA1009.
BEA2002,Taxation,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEA2002&ay=2023/4&sys=0,,BEA1008 Introduction to Financial Accounting or BEA1013 Introduction to Accounting,None
BEA2010,Managerial Accounting,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA2010&ay=2023/4&sys=0,,BEA1013 Introduction to Accounting,Cannot be taken with BEA2017 Intermediate Management Accounting or BEA3017 Advanced Management Accounting
BEA2017,Intermediate Management Accounting,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA2017&ay=2023/4&sys=0,,BEA1009 Introduction to Management Accounting,Cannot be taken with BEA2010 Managerial Accounting
BEA2018,Corporate Finance,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA2018&ay=2023/4&sys=0,,BEA1010,Cannot be taken with BEE3059 or BEA3008
BEA2019,Financial Accounting A,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA2019&ay=2023/4&sys=0,,BEA/INT1008 Introduction to Financial Accounting,BEA2020 Financial Accounting B
BEA2020,Financial Accounting B,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA2020&ay=2023/4&sys=0,,BEA/INT1008 Introduction to Financial Accounting,BEA2019 Financial Accounting A
BEA3008,Finance for Managers,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA3008&ay=2023/4&sys=0,,BEA2010 Managerial Accounting,"Cannot be taken BEA2018, BEA3018 or BEE3059"
BEA3015,Corporate Law,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA3015&ay=2023/4&sys=0,,BEA1003.Please note this module cannot be taken with LAW3083,None
BEA3017,Advanced Management Accounting,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA3017&ay=2023/4&sys=0,,BEA2017,Cannot be taken with BEA2010 managerial accounting
BEA3018,Advanced Corporate Finance,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA3018&ay=2023/4&sys=0,,BEA2018 Corporate Finance,Cannot be taken with BEA3008 or BEE3059
BEA3020,Advanced Financial Reporting,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA3020&ay=2023/4&sys=0,,BEA2019 and BEA2020,None
BEA3022,Auditing,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEA3022&ay=2023/4&sys=0,,BEA2019 and BEA2020 (For UG students),BEAM024 (For MSc Accounting & Finance students)
BEA3026,Financial Modelling,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEA3026&ay=2023/4&sys=0,,BEA2018 Corporate Finance Or BEE2027 Financial Markets and Decisions,None
